elo_diff,role_diff,counter_score,target,type,diff_marksman,diff_tank,diff_support,diff_fighter,diff_mage,diff_assassin,diff_catcher,diff_vanguard,diff_enchanter
320,0.0,-10.999999999999993,1,real,0,0,-1,0,-1,0,1,0,-1
-320,0.0,17.799999999999997,1,real,0,2,0,1,-1,0,0,0,0
320,0.0,8.399999999999999,1,real,-1,-1,0,0,3,-1,0,0,0
-80,0.0,-16.599999999999994,0,real,1,0,1,0,0,-2,-1,0,1
-63,0.0,-3.1999999999999957,0,real,0,1,-1,0,1,-1,0,-1,1
215,0.0,-14.900000000000006,0,real,-1,-2,1,1,0,2,0,0,1
196,-2.0,4.5,1,real,0,1,-1,0,-3,0,1,1,0
31,0.0,-0.8000000000000043,1,real,0,-2,0,0,0,2,1,0,0
237,0.0,13.300000000000004,1,real,1,1,0,0,-1,-1,0,0,-1
-117,0.0,14.800000000000004,0,real,1,0,0,0,1,-2,0,1,1
202,0.0,27.799999999999997,1,real,-2,1,1,1,-1,0,0,2,0
191,2.0,21.9,1,real,1,0,0,0,0,-1,0,-1,-1
-191,-2.0,-4.100000000000001,0,real,-1,0,1,0,-1,1,0,1,0
252,0.0,-21.9,1,real,0,1,-1,0,1,-1,-1,1,1
252,0.0,6.499999999999993,1,real,-1,-1,0,-1,2,0,0,-2,1
-261,0.0,1.0,0,real,0,-1,0,1,-1,2,0,-1,0
-164,0.0,-14.900000000000006,0,real,0,0,-1,1,0,1,1,0,-1
250,0.0,7.200000000000003,1,real,1,-1,1,0,1,0,-1,0,0
11,0.0,-3.8000000000000043,1,real,1,-2,0,0,1,1,-1,0,1
-261,0.0,1.2000000000000028,1,real,0,1,0,0,0,0,0,0,0
261,0.0,-13.100000000000001,1,real,0,0,0,0,0,-2,1,0,0
-112,0.0,8.699999999999996,1,real,1,-1,-1,0,0,2,0,0,0
-112,0.0,-29.200000000000003,0,real,1,0,1,-1,1,-1,0,-2,-1
164,2.0,15.0,1,real,0,-1,-1,1,0,1,-1,1,1
164,0.0,12.399999999999999,1,real,0,-1,0,0,1,0,-1,-1,1
11,0.0,19.500000000000007,1,real,0,1,0,0,1,-1,0,1,0
-11,0.0,29.800000000000004,1,real,0,-1,0,0,-1,1,1,-1,0
-11,0.0,11.800000000000004,1,real,-1,0,-1,1,-1,0,1,0,0
73,-2.0,-12.5,1,real,0,2,1,0,0,-2,1,0,-1
-261,0.0,-6.0,0,real,0,0,0,1,-1,0,0,-1,0
-112,0.0,-19.800000000000004,0,real,0,0,1,0,2,-1,-1,-2,1
112,0.0,23.700000000000003,1,real,0,0,0,0,-1,2,0,0,0
-250,2.0,-4.800000000000004,1,real,0,-1,0,0,0,0,0,0,0
250,0.0,15.700000000000003,1,real,1,-1,1,0,0,0,0,1,0
